name,cbb_url,nba_url
Stephen Curry,https://www.sports-reference.com/cbb/players/stephen-curry-1.html,https://www.basketball-reference.com/players/c/curryst01.html
Kemba Walker,https://www.sports-reference.com/cbb/players/kemba-walker-1.html,https://www.basketball-reference.com/players/w/walkeke02.html
Kevin Durant,https://www.sports-reference.com/cbb/players/kevin-durant-1.html,https://www.basketball-reference.com/players/d/duranke01.html
Jimmer Fredette,https://www.sports-reference.com/cbb/players/jimmer-fredette-1.html,https://www.basketball-reference.com/players/f/fredeji01.html
Anthony Davis,https://www.sports-reference.com/cbb/players/anthony-davis-5.html,https://www.basketball-reference.com/players/d/davisan02.html
Chris Paul,https://www.sports-reference.com/cbb/players/chris-paul-1.html,https://www.basketball-reference.com/players/p/paulch01.html
James Harden,https://www.sports-reference.com/cbb/players/james-harden-1.html,https://www.basketball-reference.com/players/h/hardeja01.html
Dwyane Wade,https://www.sports-reference.com/cbb/players/dwyane-wade-1.html,https://www.basketball-reference.com/players/w/wadedw01.html
Carmelo Anthony,https://www.sports-reference.com/cbb/players/carmelo-anthony-1.html,https://www.basketball-reference.com/players/a/anthoca01.html
Blake Griffin,https://www.sports-reference.com/cbb/players/blake-griffin-1.html,https://www.basketball-reference.com/players/g/griffbl01.html
Anthony Edwards,https://www.sports-reference.com/cbb/players/anthony-edwards-2.html,https://www.basketball-reference.com/players/e/edwaran01.html
Trae Young,https://www.sports-reference.com/cbb/players/trae-young-1.html,https://www.basketball-reference.com/players/y/youngtr01.html
Damian Lillard,https://www.sports-reference.com/cbb/players/damian-lillard-1.html,https://www.basketball-reference.com/players/l/lillada01.html
Ja Morant,https://www.sports-reference.com/cbb/players/temetrius-morant-1.html,https://www.basketball-reference.com/players/m/moranja01.html
Karl-Anthony Towns,https://www.sports-reference.com/cbb/players/karl-anthony-towns-1.html,https://www.basketball-reference.com/players/t/townska01.html
Joel Embiid,https://www.sports-reference.com/cbb/players/joel-embiid-1.html,https://www.basketball-reference.com/players/e/embiijo01.html
Russell Westbrook,https://www.sports-reference.com/cbb/players/russell-westbrook-1.html,https://www.basketball-reference.com/players/w/westbru01.html
Devin Booker,https://www.sports-reference.com/cbb/players/devin-booker-2.html,https://www.basketball-reference.com/players/b/bookede01.html
John Wall,https://www.sports-reference.com/cbb/players/john-wall-1.html,https://www.basketball-reference.com/players/w/walljo01.html
Jimmy Butler,https://www.sports-reference.com/cbb/players/jimmy-butler-1.html,https://www.basketball-reference.com/players/b/butleji01.html
Klay Thompson,https://www.sports-reference.com/cbb/players/klay-thompson-1.html,https://www.basketball-reference.com/players/t/thompkl01.html
DeMarcus Cousins,https://www.sports-reference.com/cbb/players/demarcus-cousins-1.html,https://www.basketball-reference.com/players/c/couside01.html
Gordon Hayward,https://www.sports-reference.com/cbb/players/gordon-hayward-1.html,https://www.basketball-reference.com/players/h/haywago01.html
Draymond Green,https://www.sports-reference.com/cbb/players/draymond-green-1.html,https://www.basketball-reference.com/players/g/greendr01.html
Zion Williamson,https://www.sports-reference.com/cbb/players/zion-williamson-1.html,https://www.basketball-reference.com/players/w/willizi01.html
Jayson Tatum,https://www.sports-reference.com/cbb/players/jayson-tatum-1.html,https://www.basketball-reference.com/players/t/tatumja01.html
Brandon Ingram,https://www.sports-reference.com/cbb/players/brandon-ingram-1.html,https://www.basketball-reference.com/players/i/ingrabr01.html
Donovan Mitchell,https://www.sports-reference.com/cbb/players/donovan-mitchell-1.html,https://www.basketball-reference.com/players/m/mitchdo01.html
Buddy Hield,https://www.sports-reference.com/cbb/players/buddy-hield-1.html,https://www.basketball-reference.com/players/h/hieldbu01.html
Shai Gilgeous-Alexander,https://www.sports-reference.com/cbb/players/shai-gilgeous-alexander-1.html,https://www.basketball-reference.com/players/g/gilgesh01.html
De'Aaron Fox,https://www.sports-reference.com/cbb/players/deaaron-fox-1.html,https://www.basketball-reference.com/players/f/foxde01.html
Jalen Brunson,https://www.sports-reference.com/cbb/players/jalen-brunson-1.html,https://www.basketball-reference.com/players/b/brunsja01.html
Malcolm Brogdon,https://www.sports-reference.com/cbb/players/malcolm-brogdon-1.html,https://www.basketball-reference.com/players/b/brogdma01.html
CJ McCollum,https://www.sports-reference.com/cbb/players/cj-mccollum-1.html,https://www.basketball-reference.com/players/m/mccolcj01.html
Evan Turner,https://www.sports-reference.com/cbb/players/evan-turner-1.html,https://www.basketball-reference.com/players/t/turneev01.html
Doug McDermott,https://www.sports-reference.com/cbb/players/doug-mcdermott-1.html,https://www.basketball-reference.com/players/m/mcderdo01.html
Frank Kaminsky,https://www.sports-reference.com/cbb/players/frank-kaminsky-1.html,https://www.basketball-reference.com/players/k/kaminfr01.html
Victor Oladipo,https://www.sports-reference.com/cbb/players/victor-oladipo-1.html,https://www.basketball-reference.com/players/o/oladivi01.html
Fred VanVleet,https://www.sports-reference.com/cbb/players/fred-van-vleet-1.html,https://www.basketball-reference.com/players/v/vanvlfr01.html
Andrew Wiggins,https://www.sports-reference.com/cbb/players/andrew-wiggins-1.html,https://www.basketball-reference.com/players/w/wiggian01.html
Jahlil Okafor,https://www.sports-reference.com/cbb/players/jahlil-okafor-1.html,https://www.basketball-reference.com/players/o/okafoja01.html
Denzel Valentine,https://www.sports-reference.com/cbb/players/denzel-valentine-1.html,https://www.basketball-reference.com/players/v/valende01.html
Jabari Parker,https://www.sports-reference.com/cbb/players/jabari-parker-1.html,https://www.basketball-reference.com/players/p/parkeja01.html
Julius Randle,https://www.sports-reference.com/cbb/players/julius-randle-1.html,https://www.basketball-reference.com/players/r/randlju01.html
Kris Dunn,https://www.sports-reference.com/cbb/players/kris-dunn-1.html,https://www.basketball-reference.com/players/d/dunnkr01.html
Kyle Kuzma,https://www.sports-reference.com/cbb/players/kyle-kuzma-1.html,https://www.basketball-reference.com/players/k/kuzmaky01.html
Jarrett Allen,https://www.sports-reference.com/cbb/players/jarrett-allen-1.html,https://www.basketball-reference.com/players/a/allenja01.html
Jaren Jackson Jr.,https://www.sports-reference.com/cbb/players/jaren-jacksonjr-1.html,https://www.basketball-reference.com/players/j/jacksja02.html
Obi Toppin,https://www.sports-reference.com/cbb/players/obadiah-toppin-1.html,https://www.basketball-reference.com/players/t/toppiob01.html
Tyrese Haliburton,https://www.sports-reference.com/cbb/players/tyrese-haliburton-1.html,https://www.basketball-reference.com/players/h/halibty01.html
Desmond Bane,https://www.sports-reference.com/cbb/players/desmond-bane-1.html,https://www.basketball-reference.com/players/b/banede01.html
Zach LaVine,https://www.sports-reference.com/cbb/players/zach-lavine-1.html,https://www.basketball-reference.com/players/l/lavinza01.html
Duncan Robinson,https://www.sports-reference.com/cbb/players/duncan-robinson-1.html,https://www.basketball-reference.com/players/r/robindu01.html
Kyle Lowry,https://www.sports-reference.com/cbb/players/kyle-lowry-1.html,https://www.basketball-reference.com/players/l/lowryky01.html
Robert Williams III,https://www.sports-reference.com/cbb/players/robert-williams-3.html,https://www.basketball-reference.com/players/w/williro04.html
Josh Hart,https://www.sports-reference.com/cbb/players/josh-hart-1.html,https://www.basketball-reference.com/players/h/hartjo01.html
Jalen Suggs,https://www.sports-reference.com/cbb/players/jalen-suggs-1.html,https://www.basketball-reference.com/players/s/suggsja01.html
Collin Sexton,https://www.sports-reference.com/cbb/players/collin-sexton-1.html,https://www.basketball-reference.com/players/s/sextoco01.html
Marcus Smart,https://www.sports-reference.com/cbb/players/marcus-smart-1.html,https://www.basketball-reference.com/players/s/smartma01.html
Monte Morris,https://www.sports-reference.com/cbb/players/monte-morris-1.html,https://www.basketball-reference.com/players/m/morrimo01.html
Bam Adebayo,https://www.sports-reference.com/cbb/players/edrice-adebayo-1.html,https://www.basketball-reference.com/players/a/adebaba01.html
Al Horford,https://www.sports-reference.com/cbb/players/al-horford-1.html,https://www.basketball-reference.com/players/h/horfoal01.html
Russ Smith,https://www.sports-reference.com/cbb/players/russ-smith-1.html,https://www.basketball-reference.com/players/s/smithru01.html
Kevin Love,https://www.sports-reference.com/cbb/players/kevin-love-1.html,https://www.basketball-reference.com/players/l/loveke01.html
Brook Lopez,https://www.sports-reference.com/cbb/players/brook-lopez-1.html,https://www.basketball-reference.com/players/l/lopezbr01.html
Robin Lopez,https://www.sports-reference.com/cbb/players/robin-lopez-1.html,https://www.basketball-reference.com/players/l/lopezro01.html
Kemba Walker,https://www.sports-reference.com/cbb/players/kemba-walker-1.html,https://www.basketball-reference.com/players/w/walkeke02.html
Danny Green,https://www.sports-reference.com/cbb/players/danny-green-1.html,https://www.basketball-reference.com/players/g/greenda02.html
Tyler Hansbrough,https://www.sports-reference.com/cbb/players/tyler-hansbrough-1.html,https://www.basketball-reference.com/players/h/hansbty01.html
Kyrie Irving,https://www.sports-reference.com/cbb/players/kyrie-irving-1.html,https://www.basketball-reference.com/players/i/irvinky01.html
Otto Porter Jr.,https://www.sports-reference.com/cbb/players/otto-porter-1.html,https://www.basketball-reference.com/players/p/porteot01.html
JJ Redick,https://www.sports-reference.com/cbb/players/jj-redick-1.html,https://www.basketball-reference.com/players/r/redicjj01.html
Myles Turner,https://www.sports-reference.com/cbb/players/myles-turner-1.html,https://www.basketball-reference.com/players/t/turnemy01.html
Gary Harris,https://www.sports-reference.com/cbb/players/gary-harris-1.html,https://www.basketball-reference.com/players/h/harriga01.html
Tyler Herro,https://www.sports-reference.com/cbb/players/tyler-herro-1.html,https://www.basketball-reference.com/players/h/herroty01.html
Mikal Bridges,https://www.sports-reference.com/cbb/players/mikal-bridges-1.html,https://www.basketball-reference.com/players/b/bridgmi01.html
Malik Monk,https://www.sports-reference.com/cbb/players/malik-monk-1.html,https://www.basketball-reference.com/players/m/monkma01.html
Thomas Bryant,https://www.sports-reference.com/cbb/players/thomas-bryant-1.html,https://www.basketball-reference.com/players/b/bryanth01.html
OG Anunoby,https://www.sports-reference.com/cbb/players/og-anunoby-1.html,https://www.basketball-reference.com/players/a/anunoog01.html
Kyle Anderson,https://www.sports-reference.com/cbb/players/kyle-anderson-3.html,https://www.basketball-reference.com/players/a/anderky01.html
Josh Richardson,https://www.sports-reference.com/cbb/players/josh-richardson-1.html,https://www.basketball-reference.com/players/r/richajo01.html
Jakob Poeltl,https://www.sports-reference.com/cbb/players/jakob-poeltl-1.html,https://www.basketball-reference.com/players/p/poeltja01.html
Devonte' Graham,https://www.sports-reference.com/cbb/players/devonte-graham-1.html,https://www.basketball-reference.com/players/g/grahade01.html
Trey Burke,https://www.sports-reference.com/cbb/players/trey-burke-1.html,https://www.basketball-reference.com/players/b/burketr01.html
Isaiah Thomas,https://www.sports-reference.com/cbb/players/isaiah-thomas-1.html,https://www.basketball-reference.com/players/t/thomais02.html
Grant Williams,https://www.sports-reference.com/cbb/players/grant-williams-1.html,https://www.basketball-reference.com/players/w/willigr01.html
Royce O'Neale,https://www.sports-reference.com/cbb/players/royce-oneale-1.html,https://www.basketball-reference.com/players/o/onealro01.html
Naz Reid,https://www.sports-reference.com/cbb/players/naz-reid-1.html,https://www.basketball-reference.com/players/r/reidna01.html
Dillon Brooks,https://www.sports-reference.com/cbb/players/dillon-brooks-1.html,https://www.basketball-reference.com/players/b/brookdi01.html
Eric Gordon,https://www.sports-reference.com/cbb/players/eric-gordon-1.html,https://www.basketball-reference.com/players/g/gordoer01.html
Harrison Barnes,https://www.sports-reference.com/cbb/players/harrison-barnes-1.html,https://www.basketball-reference.com/players/b/barneha02.html
Gary Trent Jr.,https://www.sports-reference.com/cbb/players/gary-trentjr-1.html,https://www.basketball-reference.com/players/t/trentga02.html
Robert Covington,https://www.sports-reference.com/cbb/players/robert-covington-1.html,https://www.basketball-reference.com/players/c/covinro01.html
Derrick White,https://www.sports-reference.com/cbb/players/derrick-white-1.html,https://www.basketball-reference.com/players/w/whitede01.html
PJ Washington,https://www.sports-reference.com/cbb/players/pj-washington-1.html,https://www.basketball-reference.com/players/w/washipj01.html
Lonzo Ball,https://www.sports-reference.com/cbb/players/lonzo-ball-1.html,https://www.basketball-reference.com/players/b/balllo01.html
Jared Sullinger,https://www.sports-reference.com/cbb/players/jared-sullinger-1.html,https://www.basketball-reference.com/players/s/sullija01.html
Aaron Holiday,https://www.sports-reference.com/cbb/players/aaron-holiday-1.html,https://www.basketball-reference.com/players/h/holidaa01.html
Caris LeVert,https://www.sports-reference.com/cbb/players/caris-levert-1.html,https://www.basketball-reference.com/players/l/leverca01.html
Brandon Clarke,https://www.sports-reference.com/cbb/players/brandon-clarke-1.html,https://www.basketball-reference.com/players/c/clarkbr01.html
Elfrid Payton,https://www.sports-reference.com/cbb/players/elfrid-payton-1.html,https://www.basketball-reference.com/players/p/paytoel01.html
Delon Wright,https://www.sports-reference.com/cbb/players/delon-wright-1.html,https://www.basketball-reference.com/players/w/wrighde01.html
Cameron Payne,https://www.sports-reference.com/cbb/players/cameron-payne-1.html,https://www.basketball-reference.com/players/p/payneca01.html
Alec Burks,https://www.sports-reference.com/cbb/players/alec-burks-1.html,https://www.basketball-reference.com/players/b/burksal01.html
Matt Thomas,https://www.sports-reference.com/cbb/players/matt-thomas-2.html,https://www.basketball-reference.com/players/t/thomama02.html
Ron Baker,https://www.sports-reference.com/cbb/players/ron-baker-1.html,https://www.basketball-reference.com/players/b/bakerro01.html
Darius Garland,https://www.sports-reference.com/cbb/players/darius-garland-1.html,https://www.basketball-reference.com/players/g/garlada01.html
Isaiah Canaan,https://www.sports-reference.com/cbb/players/isaiah-canaan-1.html,https://www.basketball-reference.com/players/c/canaais01.html
Jeremy Lin,https://www.sports-reference.com/cbb/players/jeremy-lin-1.html,https://www.basketball-reference.com/players/l/linje01.html
Ben Simmons,https://www.sports-reference.com/cbb/players/ben-simmons-1.html,https://www.basketball-reference.com/players/s/simmobe01.html
Jordan Clarkson,https://www.sports-reference.com/cbb/players/jordan-clarkson-1.html,https://www.basketball-reference.com/players/c/clarkjo01.html
JaMychal Green,https://www.sports-reference.com/cbb/players/jamychal-green-1.html,https://www.basketball-reference.com/players/g/greenja01.html
Ziaire Williams,https://www.sports-reference.com/cbb/players/ziaire-williams-1.html,https://www.basketball-reference.com/players/w/willizi02.html
Landry Shamet,https://www.sports-reference.com/cbb/players/landry-shamet-1.html,https://www.basketball-reference.com/players/s/shamela01.html
Patty Mills,https://www.sports-reference.com/cbb/players/patrick-mills-1.html,https://www.basketball-reference.com/players/m/millspa01.html
Nerlens Noel,https://www.sports-reference.com/cbb/players/nerlens-noel-1.html,https://www.basketball-reference.com/players/n/noelne01.html
Aaron Nesmith,https://www.sports-reference.com/cbb/players/aaron-nesmith-1.html,https://www.basketball-reference.com/players/n/nesmiaa01.html
Matthew Dellavedova,https://www.sports-reference.com/cbb/players/matthew-dellavedova-1.html,https://www.basketball-reference.com/players/d/dellama01.html
Killian Tillie,https://www.sports-reference.com/cbb/players/killian-tillie-1.html,https://www.basketball-reference.com/players/t/tilliki02.html
James Ennis,https://www.sports-reference.com/cbb/players/james-ennis-1.html,https://www.basketball-reference.com/players/e/ennisja01.html
Joe Chealey,https://www.sports-reference.com/cbb/players/joe-chealey-1.html,https://www.basketball-reference.com/players/c/chealjo01.html
Matt Mooney,https://www.sports-reference.com/cbb/players/matt-mooney-1.html,https://www.basketball-reference.com/players/m/moonema01.html
Terry Rozier,https://www.sports-reference.com/cbb/players/terry-rozier-1.html,https://www.basketball-reference.com/players/r/roziete01.html
Devonte' Cacok,https://www.sports-reference.com/cbb/players/devontae-cacok-1.html,https://www.basketball-reference.com/players/c/cacokde01.html
Kendrick Nunn,https://www.sports-reference.com/cbb/players/kendrick-nunn-1.html,https://www.basketball-reference.com/players/n/nunnke01.html
Rui Hachimura,https://www.sports-reference.com/cbb/players/rui-hachimura-1.html,https://www.basketball-reference.com/players/h/hachiru01.html
Corey Kispert,https://www.sports-reference.com/cbb/players/corey-kispert-1.html,https://www.basketball-reference.com/players/k/kispeco01.html
Sean Kilpatrick,https://www.sports-reference.com/cbb/players/sean-kilpatrick-1.html,https://www.basketball-reference.com/players/k/kilpase01.html
Andrew Nicholson,https://www.sports-reference.com/cbb/players/andrew-nicholson-1.html,https://www.basketball-reference.com/players/n/nichoan01.html
Mike Conley,https://www.sports-reference.com/cbb/players/mike-conley-1.html,https://www.basketball-reference.com/players/c/conlemi01.html
Paul George,https://www.sports-reference.com/cbb/players/paul-george-1.html,https://www.basketball-reference.com/players/g/georgpa01.html
Kawhi Leonard,https://www.sports-reference.com/cbb/players/kawhi-leonard-1.html,https://www.basketball-reference.com/players/l/leonaka01.html
Bradley Beal,https://www.sports-reference.com/cbb/players/bradley-beal-1.html,https://www.basketball-reference.com/players/b/bealbr01.html
Nikola Vucevic,https://www.sports-reference.com/cbb/players/nikola-vucevic-1.html,https://www.basketball-reference.com/players/v/vucevni01.html
