Player,Season,Team,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Height_in,Weight_lb,Conf_Power,age_fact,Position,Athleticism,Strength,Quickness,ortg,drtg,ws/40
Stephen Curry,2008-09,Davidson,33.7,9.2,20.2,0.454,3.8,9.9,0.387,5.4,10.3,0.519,0.549,6.5,7.4,0.876,0.6,3.8,4.4,5.6,2.5,0.2,3.7,2.4,28.6,75.0,183.0,1.0,3.0,g,7.0,7.0,9.0,100.0,100.0,348.0
Kemba Walker,2010-11,Connecticut,37.6,7.7,18.0,0.428,1.8,5.5,0.33,5.9,12.5,0.471,0.478,6.3,7.7,0.819,1.3,4.1,5.4,4.5,1.9,0.2,2.3,1.4,23.5,73.0,172.0,7.0,3.0,g,8.0,7.0,10.0,121.2,98.9,251.0
Kevin Durant,2006-07,Texas,35.9,8.7,18.5,0.473,2.3,5.8,0.404,6.4,12.7,0.505,0.536,6.0,7.3,0.816,3.0,8.1,11.1,1.3,1.9,1.9,2.8,2.0,25.8,83.0,214.0,7.0,1.0,f,9.0,7.0,8.0,100.0,100.0,280.0
Jimmer Fredette,2010-11,Brigham Young,35.8,9.4,20.7,0.452,3.4,8.5,0.396,6.0,12.2,0.491,0.533,6.8,7.6,0.894,0.6,2.8,3.4,4.3,1.3,0.0,3.5,1.3,28.9,82.0,194.0,1.0,3.0,g,7.0,8.0,7.0,118.0,100.0,256.0
Anthony Davis,2011-12,Kentucky,32.0,5.3,8.4,0.623,0.1,0.5,0.15,5.2,7.9,0.653,0.628,3.6,5.1,0.709,3.0,7.4,10.4,1.3,1.4,4.7,1.0,2.0,14.2,74.0,203.0,7.0,1.0,f,10.0,6.0,9.0,139.0,80.7,310.0
Chris Paul,2004-05,Wake Forest,33.4,4.5,9.9,0.451,1.4,3.0,0.474,3.0,6.9,0.441,0.524,4.9,5.8,0.834,0.7,3.8,4.5,6.6,2.4,0.0,2.8,2.6,15.3,72.0,174.0,7.0,2.0,g,0.0,0.0,0.0,100.0,100.0,171.0
James Harden,2008-09,Arizona State,35.8,6.3,12.9,0.489,1.7,4.7,0.356,4.7,8.3,0.564,0.553,5.8,7.7,0.756,1.4,4.2,5.6,4.2,1.7,0.3,3.4,2.8,20.1,77.0,216.0,7.0,2.0,g,8.0,8.0,7.0,100.0,100.0,229.0
Dwyane Wade,2002-03,Marquette,32.1,7.6,15.2,0.501,0.4,1.3,0.318,7.2,13.8,0.519,0.515,5.9,7.5,0.779,1.8,4.5,6.3,4.4,2.2,1.3,3.2,2.3,21.5,76.0,212.0,1.0,2.0,g,0.0,0.0,0.0,100.0,100.0,246.0
Carmelo Anthony,2002-03,Syracuse,36.4,7.9,17.5,0.453,1.6,4.7,0.337,6.3,12.7,0.496,0.498,4.8,6.8,0.706,2.9,7.1,10.0,2.2,1.6,0.9,2.2,2.2,22.2,80.0,229.0,7.0,1.0,f,0.0,0.0,0.0,100.0,100.0,183.0
Blake Griffin,2008-09,Oklahoma,33.3,8.6,13.1,0.654,0.1,0.2,0.375,8.5,12.9,0.659,0.657,5.5,9.3,0.59,3.9,10.5,14.4,2.3,1.1,1.2,3.3,2.5,22.7,82.0,249.0,7.0,2.0,f,10.0,10.0,8.0,100.0,100.0,332.0
Anthony Edwards,2019-20,Georgia,33.0,6.3,15.8,0.402,2.3,7.7,0.294,4.1,8.1,0.504,0.473,4.1,5.3,0.772,0.8,4.5,5.2,2.8,1.3,0.6,2.7,2.2,19.1,77.0,225.0,7.0,1.0,g,9.0,9.0,8.0,105.8,103.6,136.0
Trae Young,2017-18,Oklahoma,35.4,8.2,19.3,0.422,3.7,10.3,0.36,4.5,9.1,0.493,0.518,7.4,8.6,0.861,0.4,3.5,3.9,8.7,1.7,0.3,5.2,1.8,27.4,74.0,179.0,7.0,1.0,g,7.0,6.0,9.0,114.7,108.1,201.0
Damian Lillard,2011-12,Weber State,34.5,7.2,15.5,0.467,2.9,7.2,0.409,4.3,8.3,0.517,0.562,7.1,8.0,0.887,0.5,4.5,5.0,4.0,1.5,0.2,2.3,1.9,24.5,74.0,183.0,1.0,3.0,g,8.0,8.0,9.0,128.4,101.6,291.0
Ja Morant,2018-19,Murray State,36.6,8.0,16.1,0.499,1.7,4.8,0.363,6.3,11.3,0.556,0.553,6.7,8.2,0.813,1.2,4.5,5.7,10.0,1.8,0.8,5.2,1.5,24.5,75.0,174.0,1.0,2.0,g,9.0,7.0,9.0,119.3,95.8,273.0
Karl-Anthony Towns,2014-15,Kentucky,21.1,3.7,6.6,0.566,0.1,0.2,0.25,3.7,6.4,0.577,0.57,2.8,3.4,0.813,2.4,4.3,6.7,1.1,0.5,2.3,1.4,2.9,10.3,83.0,249.0,7.0,1.0,f,8.0,8.0,7.0,126.8,78.1,311.0
Joel Embiid,2013-14,Kansas,23.1,3.8,6.1,0.626,0.0,0.2,0.0,3.8,5.9,0.639,0.629,3.5,5.1,0.685,2.3,5.8,8.1,1.4,0.9,2.6,2.4,3.4,11.2,84.0,249.0,7.0,1.0,c,9.0,8.0,8.0,116.6,90.9,213.0
Russell Westbrook,2007-08,UCLA,33.8,4.7,10.0,0.465,0.7,2.0,0.338,4.0,8.1,0.497,0.499,2.7,3.8,0.713,1.6,2.4,3.9,4.3,1.6,0.2,2.5,2.4,12.7,76.0,185.0,7.0,2.0,g,10.0,6.0,10.0,100.0,100.0,161.0
Devin Booker,2014-15,Kentucky,21.5,3.6,7.6,0.47,1.5,3.7,0.411,2.0,3.8,0.527,0.571,1.4,1.7,0.828,0.4,1.6,2.0,1.1,0.4,0.1,1.0,1.5,10.0,78.0,206.0,7.0,1.0,g,8.0,7.0,7.0,123.1,92.2,219.0
John Wall,2009-10,Kentucky,34.8,5.5,11.8,0.461,1.0,3.1,0.325,4.5,8.8,0.509,0.503,4.7,6.3,0.754,0.8,3.5,4.3,6.5,1.8,0.5,4.0,1.9,16.6,76.0,194.0,7.0,1.0,g,10.0,7.0,10.0,111.7,94.1,196.0
Jimmy Butler,2010-11,Marquette,34.6,5.1,10.3,0.49,0.5,1.6,0.345,4.5,8.8,0.515,0.516,5.1,6.5,0.783,2.4,3.6,6.1,2.3,1.4,0.4,1.5,1.3,15.7,79.0,218.0,7.0,3.0,g,8.0,8.0,8.0,126.8,102.5,198.0
Klay Thompson,2010-11,Washington State,34.7,7.1,16.2,0.436,2.9,7.2,0.398,4.2,9.0,0.466,0.525,4.6,5.4,0.838,0.7,4.5,5.2,3.7,1.6,0.9,3.4,2.9,21.6,78.0,198.0,7.0,3.0,g,7.0,7.0,7.0,109.8,95.8,198.0
DeMarcus Cousins,2009-10,Kentucky,23.5,5.4,9.7,0.558,0.0,0.2,0.167,5.4,9.6,0.565,0.56,4.3,7.1,0.604,4.1,5.8,9.8,1.0,1.0,1.8,2.1,3.2,15.1,83.0,269.0,7.0,1.0,f,8.0,9.0,9.0,118.5,83.9,290.0
Gordon Hayward,2009-10,Butler,33.5,4.7,10.1,0.464,1.3,4.3,0.294,3.4,5.8,0.592,0.527,4.8,5.8,0.829,1.9,6.3,8.2,1.7,1.1,0.8,2.3,2.1,15.5,80.0,205.0,1.0,2.0,f,7.0,8.0,6.0,117.1,90.1,224.0
Draymond Green,2011-12,Michigan State,33.2,5.7,12.8,0.449,1.4,3.6,0.388,4.3,9.1,0.473,0.504,3.4,4.7,0.723,2.1,8.5,10.6,3.8,1.5,0.9,3.0,2.8,16.2,79.0,229.0,7.0,3.0,f,6.0,8.0,8.0,109.6,83.6,230.0
Zion Williamson,2018-19,Duke,30.0,9.0,13.2,0.68,0.7,2.2,0.338,8.2,11.0,0.747,0.708,3.9,6.2,0.64,3.5,5.4,8.9,2.1,2.1,1.8,2.4,2.1,22.6,79.0,284.0,7.0,1.0,f,10.0,9.0,9.0,133.1,87.4,335.0
Jayson Tatum,2016-17,Duke,33.3,5.7,12.6,0.452,1.4,4.0,0.342,4.3,8.6,0.504,0.507,4.1,4.8,0.849,1.3,6.0,7.3,2.1,1.3,1.1,2.6,3.0,16.8,80.0,203.0,7.0,1.0,f,8.0,7.0,7.0,111.4,97.8,169.0
Brandon Ingram,2015-16,Duke,34.6,5.9,13.4,0.442,2.2,5.4,0.41,3.7,8.0,0.464,0.525,3.2,4.7,0.682,1.9,4.9,6.8,2.0,1.1,1.4,2.0,2.1,17.3,81.0,190.0,7.0,1.0,g,7.0,6.0,8.0,114.8,104.4,157.0
Donovan Mitchell,2016-17,Louisville,32.3,5.3,13.1,0.408,2.4,6.6,0.354,3.0,6.4,0.463,0.498,2.6,3.2,0.806,1.1,3.8,4.9,2.7,2.1,0.5,1.6,2.6,15.6,75.0,209.0,7.0,2.0,g,9.0,7.0,8.0,116.3,94.1,197.0
Buddy Hield,2015-16,Oklahoma,35.4,8.1,16.2,0.501,4.0,8.7,0.457,4.2,7.5,0.552,0.623,4.8,5.4,0.88,1.2,4.5,5.7,2.0,1.1,0.5,3.1,2.1,25.0,76.0,207.0,7.0,3.0,g,7.0,7.0,7.0,124.0,101.6,233.0
Shai Gilgeous-Alexander,2017-18,Kentucky,33.7,4.9,10.2,0.485,0.6,1.5,0.404,4.3,8.6,0.5,0.516,3.9,4.7,0.817,0.9,3.2,4.1,5.1,1.6,0.5,2.7,1.7,14.4,78.0,179.0,7.0,1.0,g,8.0,6.0,9.0,116.5,101.8,167.0
De'Aaron Fox,2016-17,Kentucky,29.6,5.9,12.4,0.479,0.5,1.9,0.246,5.5,10.5,0.521,0.498,4.3,5.9,0.736,0.6,3.4,4.0,4.6,1.5,0.2,2.4,2.5,16.7,75.0,185.0,7.0,1.0,g,9.0,7.0,10.0,113.6,96.9,192.0
Jalen Brunson,2017-18,Villanova,31.8,6.8,13.0,0.521,2.2,5.3,0.408,4.6,7.7,0.599,0.604,3.3,4.1,0.802,0.3,2.8,3.1,4.6,0.9,0.0,1.8,2.0,18.9,75.0,198.0,7.0,3.0,g,6.0,8.0,6.0,130.7,104.1,241.0
Malcolm Brogdon,2015-16,Virginia,34.1,6.2,13.6,0.457,2.0,5.2,0.391,4.2,8.4,0.498,0.532,3.8,4.2,0.897,0.5,3.5,4.1,3.1,0.9,0.2,1.4,2.1,18.2,77.0,216.0,7.0,3.0,g,6.0,9.0,6.0,122.5,99.9,222.0
