Team,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25
AR-Pine Bluff,76.6,81.8,73.4,71.4,68.9,69.0,68.7,67.4,74.0,69.8,70.4,67.9,70.1,69.4,67.3,67.2,70.8,70.2,69.6,68.6,71.4,70.8,72.4,74.8,74.0
Abl Christian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.9,66.1,71.2,70.6,72.9,68.1,73.1,72.3,73.5,71.9,72.8,72.1
Air Force,59.0,59.2,55.4,54.5,57.1,58.0,59.9,59.8,60.4,59.4,63.8,64.0,65.5,67.0,62.4,71.5,71.0,68.8,69.5,69.8,65.0,64.4,65.5,65.0,66.5
Akron,68.1,69.1,72.2,69.6,69.8,67.0,66.0,67.0,67.2,69.1,69.4,69.6,69.0,68.0,66.9,70.6,69.6,71.4,70.2,71.7,72.3,65.2,69.3,68.4,74.6
Alabama,73.5,71.8,68.0,68.2,67.3,66.8,68.3,71.8,72.9,67.4,67.5,64.8,64.1,66.6,64.9,68.2,70.1,71.7,71.6,79.0,76.7,75.1,76.2,76.3,78.5
Alabama A&M,78.7,80.8,75.5,71.7,75.7,77.6,72.4,72.4,73.7,74.2,72.4,69.5,69.2,69.0,66.2,67.8,68.0,70.1,69.6,71.2,72.5,71.3,71.8,73.7,75.1
Alabama State,72.3,68.8,69.1,66.4,59.7,71.3,67.3,68.0,67.8,69.7,68.5,67.4,69.4,70.9,71.4,72.4,72.6,73.2,70.8,71.6,74.2,73.7,70.1,72.5,71.2
Albany,74.3,65.7,69.7,64.8,67.3,66.6,64.8,67.7,67.4,67.5,64.1,67.3,64.6,65.4,62.9,69.8,66.5,68.6,68.9,70.4,70.7,68.1,69.3,75.9,70.8
Alcorn State,77.4,76.3,74.9,70.9,72.7,72.2,74.2,72.9,76.9,76.9,79.5,68.8,69.8,66.3,69.1,70.1,71.0,71.2,69.1,73.9,73.1,71.3,70.1,70.1,68.0
American,67.3,67.1,65.8,67.2,68.1,67.7,65.9,63.2,63.4,66.5,64.0,64.7,61.4,62.3,59.0,63.8,66.5,69.0,70.3,70.6,72.1,67.5,64.9,64.6,65.6
App State,70.2,77.6,81.3,75.1,72.1,69.2,69.2,68.9,74.2,68.1,69.4,68.6,71.0,68.9,68.2,73.1,73.3,74.2,74.9,69.8,69.3,66.6,67.5,72.1,66.0
Arizona,74.4,75.9,78.3,77.2,72.6,72.4,70.3,66.8,66.4,71.5,69.2,66.9,68.6,66.9,68.2,73.0,68.8,70.9,70.5,72.2,70.6,74.7,74.2,76.3,72.7
Arizona State,74.4,75.2,71.8,73.0,72.4,69.5,61.3,63.1,62.4,63.1,65.9,64.4,70.1,71.8,68.9,72.0,74.3,74.5,75.5,75.3,74.5,70.8,71.7,72.5,72.8
Arkansas,76.6,75.8,68.9,70.1,69.4,70.3,68.5,70.7,74.1,73.7,70.9,71.7,72.7,75.0,72.3,74.5,73.4,73.5,74.0,73.9,76.6,74.0,72.1,74.9,72.4
Arkansas State,71.9,69.8,68.0,71.4,72.4,72.1,70.1,67.5,67.9,69.6,66.7,65.5,69.6,72.7,69.5,75.8,70.9,72.5,73.3,69.5,70.7,70.5,65.6,71.9,72.4
Army,76.4,70.7,64.0,64.6,64.4,64.6,64.9,66.4,66.3,66.0,69.8,71.0,69.5,70.3,71.7,75.4,74.2,73.3,72.8,71.4,72.1,71.6,69.3,65.3,70.7
Auburn,74.9,74.0,69.2,69.8,71.1,68.0,72.1,69.0,71.9,72.8,68.0,67.4,69.1,69.4,70.2,74.4,77.7,74.8,70.9,73.7,75.8,74.6,70.7,72.5,71.1
Austin Peay,70.6,72.3,69.5,65.7,67.3,70.2,66.3,69.9,70.9,70.2,71.1,70.4,72.3,74.1,69.4,72.7,74.1,71.5,73.4,71.0,70.2,68.1,67.6,68.4,69.5
Brigham Young,67.3,67.8,67.7,66.9,67.5,73.5,69.6,71.6,70.4,73.2,73.4,74.7,72.5,76.5,73.3,76.2,77.3,69.9,74.1,71.3,72.4,71.4,72.8,71.9,71.1
Ball State,66.5,71.3,71.7,70.1,67.0,65.9,64.8,63.8,62.7,65.8,66.7,63.5,66.8,70.0,66.7,68.7,75.6,73.4,73.8,70.5,74.3,73.4,70.0,70.0,70.1
Baylor,70.4,72.5,68.8,65.8,66.9,68.4,69.8,74.9,69.7,69.2,68.6,68.8,70.0,66.2,64.6,69.2,66.8,70.6,68.4,68.6,71.0,70.7,69.7,69.7,68.0
Bellarmine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.1,64.5,64.2,68.6,68.9
Belmont,72.6,69.0,71.2,68.7,71.1,74.5,68.5,74.2,72.5,72.1,71.0,70.2,69.7,70.7,68.6,74.1,70.2,69.8,75.8,73.5,73.2,71.5,71.2,73.3,71.9
Bethune,70.0,73.5,70.6,68.2,71.6,70.6,63.5,61.9,64.1,62.8,65.1,66.1,68.4,65.0,62.4,71.0,73.3,79.6,76.1,76.8,0.0,69.2,71.9,73.1,71.2
Bham Southern,69.7,67.3,66.9,68.2,63.0,61.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
